player_name,team,current_ovr,proposed_ovr,delta,Final Decision,current_tier,proposed_tier,model_source,confidence,manual_review_reason,reasoning
Jalen Johnson (2025-26),Atlanta Hawks,92,89,-3,92,Amethyst,Ruby,proxy-model,low,High-current-OVR card lacks exact historical anchor. | Current-season high-value card needs active-season evidence validation. | Tier change: Amethyst to Ruby. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Devin Booker (2025-26),Phoenix Suns,91,88,-3,91,Amethyst,Ruby,active-card-anchor,medium,Current-season high-value card needs active-season evidence validation. | Tier change: Amethyst to Ruby.,Active/current card anchor set to 88; needs final stat-source validation before merge.
Jalen Brunson (2025-26),New York Knicks,91,88,-3,91,Amethyst,Ruby,active-card-anchor,medium,Current-season high-value card needs active-season evidence validation. | Tier change: Amethyst to Ruby.,Active/current card anchor set to 88; needs final stat-source validation before merge.
Deni Avdija (2025-26),Portland Trail Blazers,90,87,-3,90,Ruby,Ruby,proxy-model,low,High-current-OVR card lacks exact historical anchor. | Current-season high-value card needs active-season evidence validation. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Dwight Howard,Orlando Magic,90,93,3,92,Ruby,Amethyst,exact-anchor,high,Tier change: Ruby to Amethyst.,Dwight anchor: three-time DPOY-level defensive peak and Finals-center value.
Evan Mobley (2025-26),Cleveland Cavaliers,90,87,-3,89,Ruby,Ruby,proxy-model,low,High-current-OVR card lacks exact historical anchor. | Current-season high-value card needs active-season evidence validation. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Scottie Barnes (2025-26),Toronto Raptors,90,87,-3,89,Ruby,Ruby,proxy-model,low,High-current-OVR card lacks exact historical anchor. | Current-season high-value card needs active-season evidence validation. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Jalen Williams (2025-26),Oklahoma City Thunder,89,86,-3,87,Ruby,Ruby,proxy-model,low,Current-season high-value card needs active-season evidence validation. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Joel Embiid (2025-26),Philadelphia 76ers,89,86,-3,87,Ruby,Ruby,proxy-model,low,Current-season high-value card needs active-season evidence validation. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Lauri Markkanen (2025-26),Utah Jazz,89,86,-3,88,Ruby,Ruby,proxy-model,low,Current-season high-value card needs active-season evidence validation. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Alex Sarr (2025-26),Washington Wizards,88,85,-3,88,Ruby,Sapphire,proxy-model,low,Current-season high-value card needs active-season evidence validation. | Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Domantas Sabonis (2025-26),Sacramento Kings,88,85,-3,87,Ruby,Sapphire,proxy-model,low,Current-season high-value card needs active-season evidence validation. | Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Franz Wagner (2025-26),Orlando Magic,88,85,-3,87,Ruby,Sapphire,proxy-model,low,Current-season high-value card needs active-season evidence validation. | Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Derrick White (2025-26),Boston Celtics,87,84,-3,86,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Dillon Brooks (2025-26),Phoenix Suns,87,84,-3,86,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Ivica Zubac (2025-26),Indiana Pacers,87,84,-3,86,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Ja Morant (2025-26),Memphis Grizzlies,87,84,-3,87,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Jabari Smith Jr. (2025-26),Houston Rockets,87,84,-3,86,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Kevin Porter Jr. (2025-26),Milwaukee Bucks,87,84,-3,86,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Matas Buzelis (2025-26),Chicago Bulls,87,84,-3,86,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Paul George (2025-26),Philadelphia 76ers,87,84,-3,86,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
RJ Barrett (2025-26),Toronto Raptors,87,84,-3,86,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Trae Young (2025-26),Washington Wizards,87,84,-3,87,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Tyler Herro (2025-26),Miami Heat,87,84,-3,87,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
VJ Edgecombe (2025-26),Philadelphia 76ers,87,84,-3,85,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Aaron Gordon (2025-26),Denver Nuggets,86,83,-3,85,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Dejounte Murray (2025-26),New Orleans Pelicans,86,83,-3,85,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Dyson Daniels (2025-26),Atlanta Hawks,86,83,-3,85,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Kristaps Porzingis (2025-26),Golden State Warriors,86,83,-3,85,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Kyshawn George (2025-26),Washington Wizards,86,83,-3,85,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Miles Bridges (2025-26),Charlotte Hornets,86,83,-3,85,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Saddiq Bey (2025-26),New Orleans Pelicans,86,83,-3,85,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Santi Aldama (2025-26),Memphis Grizzlies,86,83,-3,85,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Shaedon Sharpe (2025-26),Portland Trail Blazers,86,83,-3,85,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Walker Kessler (2025-26),Utah Jazz,86,83,-3,85,Ruby,Sapphire,proxy-model,low,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Ace Bailey (2025-26),Utah Jazz,85,82,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Ajay Mitchell (2025-26),Oklahoma City Thunder,85,82,-3,84,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Anthony Black (2025-26),Orlando Magic,85,82,-3,84,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Ausar Thompson (2025-26),Detroit Pistons,85,82,-3,84,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Bennedict Mathurin (2025-26),Los Angeles Clippers,85,82,-3,84,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Cedric Coward (2025-26),Memphis Grizzlies,85,82,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Dylan Harper (2025-26),San Antonio Spurs,85,82,-3,84,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Egor Demin (2025-26),Brooklyn Nets,85,82,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Grayson Allen (2025-26),Phoenix Suns,85,82,-3,84,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Jaime Jaquez Jr. (2025-26),Miami Heat,85,82,-3,84,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Jalen Green (2025-26),Phoenix Suns,85,82,-3,84,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Jeremiah Fears (2025-26),New Orleans Pelicans,85,82,-3,84,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Josh Hart (2025-26),New York Knicks,85,82,-3,84,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Nikola Vucevic (2025-26),Boston Celtics,85,82,-3,84,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
P.J. Washington (2025-26),Dallas Mavericks,85,82,-3,84,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Peyton Watson (2025-26),Denver Nuggets,85,82,-3,84,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Russell Westbrook (2025-26),Sacramento Kings,85,82,-3,84,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Tobias Harris (2025-26),Detroit Pistons,85,82,-3,84,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Aaron Nesmith (2025-26),Indiana Pacers,84,81,-3,84,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Bobby Portis (2025-26),Milwaukee Bucks,84,81,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Brandon Williams (2025-26),Dallas Mavericks,84,81,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Coby White (2025-26),Charlotte Hornets,84,81,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Deandre Ayton (2025-26),Los Angeles Lakers,84,81,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Draymond Green (2025-26),Golden State Warriors,84,81,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
John Collins (2025-26),Los Angeles Clippers,84,81,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Keegan Murray (2025-26),Sacramento Kings,84,81,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Keldon Johnson (2025-26),San Antonio Spurs,84,81,-3,84,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Klay Thompson (2025-26),Dallas Mavericks,84,81,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Kyle Filipowski (2025-26),Utah Jazz,84,81,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Luguentz Dort (2025-26),Oklahoma City Thunder,84,81,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Myles Turner (2025-26),Milwaukee Bucks,84,81,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Naji Marshall (2025-26),Dallas Mavericks,84,81,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Noah Clowney (2025-26),Brooklyn Nets,84,81,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Quentin Grimes (2025-26),Philadelphia 76ers,84,81,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Scoot Henderson (2025-26),Portland Trail Blazers,84,81,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Tari Eason (2025-26),Houston Rockets,84,81,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Aaron Wiggins (2025-26),Oklahoma City Thunder,83,80,-3,82,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Alex Caruso (2025-26),Oklahoma City Thunder,83,80,-3,83,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Bilal Coulibaly (2025-26),Washington Wizards,83,80,-3,82,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Brice Sensabaugh (2025-26),Utah Jazz,83,80,-3,82,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Cason Wallace (2025-26),Oklahoma City Thunder,83,80,-3,82,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Christian Braun (2025-26),Denver Nuggets,83,80,-3,82,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Herbert Jones (2025-26),New Orleans Pelicans,83,80,-3,82,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Jake LaRavia (2025-26),Los Angeles Lakers,83,80,-3,81,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Jakob Poeltl (2025-26),Toronto Raptors,83,80,-3,81,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Jaylen Wells (2025-26),Memphis Grizzlies,83,80,-3,81,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Jonathan Kuminga (2025-26),Atlanta Hawks,83,80,-3,81,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Jose Alvarado (2025-26),New York Knicks,83,80,-3,81,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Miles McBride (2025-26),New York Knicks,83,80,-3,81,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Ryan Dunn (2025-26),Phoenix Suns,83,80,-3,81,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Steven Adams (2025-26),Houston Rockets,83,80,-3,81,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Tre Johnson (2025-26),Washington Wizards,83,80,-3,81,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Zach Edey (2025-26),Memphis Grizzlies,83,80,-3,81,Sapphire,Sapphire,proxy-model,low,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Andre Drummond (2025-26),Philadelphia 76ers,82,79,-3,80,Sapphire,Emerald,proxy-model,low,Tier change: Sapphire to Emerald. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Bruce Brown (2025-26),Denver Nuggets,82,79,-3,80,Sapphire,Emerald,proxy-model,low,Tier change: Sapphire to Emerald. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Bub Carrington (2025-26),Washington Wizards,82,79,-3,80,Sapphire,Emerald,proxy-model,low,Tier change: Sapphire to Emerald. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Cam Thomas (2025-26),Milwaukee Bucks,82,79,-3,80,Sapphire,Emerald,proxy-model,low,Tier change: Sapphire to Emerald. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Collin Murray-Boyles (2025-26),Toronto Raptors,82,79,-3,81,Sapphire,Emerald,proxy-model,low,Tier change: Sapphire to Emerald. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Daniss Jenkins (2025-26),Detroit Pistons,82,79,-3,81,Sapphire,Emerald,proxy-model,low,Tier change: Sapphire to Emerald. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Danny Wolf (2025-26),Brooklyn Nets,82,79,-3,80,Sapphire,Emerald,proxy-model,low,Tier change: Sapphire to Emerald. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Day'Ron Sharpe (2025-26),Brooklyn Nets,82,79,-3,80,Sapphire,Emerald,proxy-model,low,Tier change: Sapphire to Emerald. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Dereck Lively II (2025-26),Dallas Mavericks,82,79,-3,80,Sapphire,Emerald,proxy-model,low,Tier change: Sapphire to Emerald. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Dominick Barlow (2025-26),Philadelphia 76ers,82,79,-3,80,Sapphire,Emerald,proxy-model,low,Tier change: Sapphire to Emerald. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Dylan Cardwell (2025-26),Sacramento Kings,82,79,-3,80,Sapphire,Emerald,proxy-model,low,Tier change: Sapphire to Emerald. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
GG Jackson II (2025-26),Memphis Grizzlies,82,79,-3,80,Sapphire,Emerald,proxy-model,low,Tier change: Sapphire to Emerald. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Gui Santos (2025-26),Golden State Warriors,82,79,-3,80,Sapphire,Emerald,proxy-model,low,Tier change: Sapphire to Emerald. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Isaiah Collier (2025-26),Utah Jazz,82,79,-3,80,Sapphire,Emerald,proxy-model,low,Tier change: Sapphire to Emerald. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Isaiah Stewart (2025-26),Detroit Pistons,82,79,-3,81,Sapphire,Emerald,proxy-model,low,Tier change: Sapphire to Emerald. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
Jaden Ivey (2025-26),Chicago Bulls,82,79,-3,80,Sapphire,Emerald,proxy-model,low,Tier change: Sapphire to Emerald. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails."
